"controlId","controlFamily","controlName","policyId","policyName","policyEffect","currentProdEffect","currentNonprodEffect","implementationStatus","enforcementScope"
"SC-12","SC","Cryptographic Key Establishment and Management","051cba44-2429-45b9-9649-46cec11c7119","Azure API for FHIR should use a customer-managed key to encrypt data at rest","Audit","Audit","Audit","Planned","Both"
"AC-4","AC","Information Flow Enforcement","1ee56206-5dd1-42ab-b02d-8aae8b1634ce","Azure API for FHIR should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17","AC","Remote Access","1ee56206-5dd1-42ab-b02d-8aae8b1634ce","Azure API for FHIR should use private link","Audit","Audit","Audit","Planned","Both"
"AC-17(1)","AC","Remote Access","1ee56206-5dd1-42ab-b02d-8aae8b1634ce","Azure API for FHIR should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7","SC","Boundary Protection","1ee56206-5dd1-42ab-b02d-8aae8b1634ce","Azure API for FHIR should use private link","Audit","Audit","Audit","Planned","Both"
"SC-7(3)","SC","Boundary Protection","1ee56206-5dd1-42ab-b02d-8aae8b1634ce","Azure API for FHIR should use private link","Audit","Audit","Audit","Planned","Both"
"AC-4","AC","Information Flow Enforcement","ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","API Management services should use a virtual network","Deny","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""],""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""]}","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""],""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""]}","Implemented","Both"
"SC-7","SC","Boundary Protection","ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","API Management services should use a virtual network","Deny","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""],""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""]}","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""],""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""]}","Implemented","Both"
"SC-7(3)","SC","Boundary Protection","ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","API Management services should use a virtual network","Deny","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""],""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""]}","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""],""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""]}","Implemented","Both"
"AC-4","AC","Information Flow Enforcement","ca610c1d-041c-4332-9d88-7ed3094967c7","App Configuration should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17","AC","Remote Access","ca610c1d-041c-4332-9d88-7ed3094967c7","App Configuration should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
"AC-17(1)","AC","Remote Access","ca610c1d-041c-4332-9d88-7ed3094967c7","App Configuration should use private link","Audit","AuditIfNotExists","AuditIfNotExists","Planned","Both"
